SIRET,NIC_ministere,SIREN,Code_CJ3,Raison_sociale,Nom,Prenom,Enseigne,Nom_commercial,Sigle,Code_Etat,Date_de_l_etat,Code_NAF2_10,Code_NAF2_38,Code_activite,Date_debut_activite,Ancien_code_APE,Code_Qualite_siege,NIC_du_siege,Code_UT_du_siege,Siege_et_region,Siege_et_departement,Code_tutelle,Tranche_eff__INSEE,Annee_tranche_eff_,Dernier_eff__physique,Date_der_eff_physique,Source_dernier_eff_phy,Eff_Physique_extrait,Date_Eff_phy_extrait,Source_Eff_phy_extrait,Dernier_effectif_ETP,Date_der_eff_ETP,Source_dernier_eff_ETP,Code_Employeur,Date_employeur,Date_de_creation,Code_Modalite_activ_,Code_Car__saisonnier,Code_Car__auxiliaire,Code_Marchand,Code_Accepte_refuse,Code_Region,Code_Departement,Code_UT,Code_Section,Date_Debut_section,Code_rivoli_de_la_voie,Numero_dans_la_voie,Code_Indice_repetition,Code_Type_de_voie,Libelle_voie,Complement_adresse,Code_postal,Code_commune,Libelle_commune,Annee_IDCC,Codes_IDCC
04441167600016,0,044411676,9110,SYNDICAT DE COPROPRIETE,,,,,,1,25/12/1994,8,N,8110Z,05/01/2008,703C,2,00016,65,RR,DD,1,01,31/12/2012,1,31/12/2012,230,,,,,,,O,01/01/2004,25/12/1994,S,P,N,MARCH,1,76,65,65,65U01,11/11/2014,65388-00001020705,,,PL,D ADER,,65170,65388,SAINT LARY SOULAN,2014,1
05881167000320,0,058811670,5599,ERILIA,,,,,,3,01/07/2011,7,L,6820A,05/01/2008,702A,6,00015,13,93,13,1,12,31/12/2010,0,01/07/2011,217,,,,,,,N,,01/01/2002,S,P,N,MARCH,1,76,34,34,34U02,05/09/2014,341724555,121,,RUE,DU PONT DE LAVERUNE,LA MARTELLE,34070,34172,MONTPELLIER,2010,2
08558098301434,0,085580983,5710,PPG DISTRIBUTION,,,,,SKD,1,13/12/1999,4,G,4673B,05/01/2008,515F,6,00139,45,24,45,1,02,31/12/2012,6,31/12/2012,230,,,,,,,O,01/01/2004,13/12/1999,S,P,N,MARCH,1,76,65,65,65U01,11/11/2014,654401905,13,,RUE,JOSEPH NELLI,,65000,65440,TARBES,2014,0
13000548106686,0,130005481,7389,POLE EMPLOI,,,AGENCE LOCALE BEZIERS LIBRON,,,3,01/06/2015,9,O,8413Z,,751E,4,00010,75,11,75,5,12,31/12/2012,0,01/06/2015,217,,,,,,,N,01/06/2015,19/12/2008,,,N,NMPUB,1,76,34,34,34U02,,34037-00000519080,,,RUE,THEOPHILE GAUTIER,ZAE LE MONESTIE,34760,34037,BOUJAN SUR LIBRON,2014,2
13000548111868,0,130005481,7389,POLE EMPLOI,,,,,,3,01/06/2014,9,O,8413Z,,751E,4,00010,75,11,75,5,12,31/12/2010,0,01/06/2014,217,,,,,,,N,01/06/2014,19/12/2008,,,N,NMPUB,1,76,34,34,34U02,,341450005,156,,AV,DES ABRIVADOS,,34400,34145,LUNEL,2012,2
13000548122501,0,130005481,7389,POLE EMPLOI,,,POLE EMPLOI BEZIERS CAPISCOL,,,1,01/04/2014,9,O,8413Z,01/04/2014,751E,4,00010,75,11,75,5,,,1,01/04/2014,210,,,,,,,O,,01/04/2014,,,N,NMPUB,1,76,34,34,34U02,,340321036,166,,RUE,MAURICE BEJART,PARC CLUB LA DEVEZE,34500,34032,BEZIERS,2014,2
18003502402823,0,180035024,7389,CAISSE NATIONALE ASSURANCE MALADIE TRAVAIL SALARIES,,,ECHELON LOCAL SERVICE MEDICAL DE L'AVEYRON,,CNAMTS,1,01/08/2012,9,O,8430A,01/08/2012,753A,4,02369,75,11,75,5,,,7,01/08/2012,210,,,,,,,O,,01/08/2012,S,,N,NMPUB,1,76,12,12,12U01,,121452500,2,,RUE,DU REC,,,12145,MILLAU,2014,0
18003604801633,0,180036048,7389,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,,,INSERM UNITE 475 ADR8,,INSERM,3,25/08/2008,8,MB,7219Z,05/01/2008,731Z,7,00015,75,11,75,5,32,31/12/2010,368,31/12/2010,230,,,,,,,N,,25/12/1991,S,P,N,NMPUB,1,76,34,34,34U03,05/09/2014,341724715,99,,RUE,DE PUECH VILLA,PARC EUROMEDECINE,34090,34172,MONTPELLIER,2012,9
18004601300900,0,180046013,7389,CENTRE DES MONUMENTS NATIONAUX,,,,,,1,28/01/1999,10,R,9103Z,05/01/2008,925C,3,00017,75,11,75,5,00,31/12/2012,1,31/12/2012,230,,,,,,,O,,28/01/1999,S,P,N,NMPUB,1,76,46,46,46U01,11/11/2014,46009-00001462744,,,,_VOIE NON PRECISEE,CHATEAU D'ASSIER,46320,46009,ASSIER,2010,9
18008901301609,0,180089013,7389,CTRE NAT DE LA RECHERCHE SCIENTIFIQUE,,,LABORATOIRE SOUTERRAIN,,CNRS,1,31/12/1985,8,MB,7220Z,05/01/2008,732Z,7,03720,75,11,75,5,12,31/12/2012,1,17/01/2016,215,,,,,,,O,,31/12/1985,S,P,N,NMPUB,1,76,09,09,09U01,11/11/2014,09214-00000101514,,,,CHATEAU DE MOULIS,,09200,09214,MOULIS,2010,5
18009006001201,0,180090060,7490,INSTITUTION GESTION SOCIALE DES ARMEES,,,CENTRE DE VACANCES,,IGESA,1,01/01/1987,4,I,5520Z,05/01/2008,552E,7,00997,2B,94,2B,5,01,31/12/2012,1,04/07/2014,215,,,,,,,O,,01/01/1987,S,P,N,NMPUB,1,76,34,34,34U02,05/09/2014,34192-00000532388,,,AV,MAGUELONE,,34250,34192,PALAVAS LES FLOTS,2014,9
18310007200176,0,183100072,7385,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,,,RESTAURANT UNIVERSITAIRE DE L'ARSENAL,,CROUS,1,21/03/1985,4,I,5629B,05/01/2008,555A,3,00259,31,RR,DD,5,21,31/12/2012,124,31/12/2012,230,,,,,,,O,,21/03/1985,S,P,N,MARCH,1,76,31,31,31U05,07/11/2014,315550492,2,,BD,ARMAND DUPORTAL,,31000,31555,TOULOUSE,2010,5
18340008400020,0,183400084,7385,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,,,RESTAURANT PERPIGNAN,,CROUS,1,16/03/1983,4,I,5629B,05/01/2008,555A,3,00012,34,RR,34,5,12,31/12/2012,38,31/12/2012,230,,,,,,,O,,16/03/1983,S,P,N,MARCH,1,76,66,66,66U01,09/09/2014,661360098,,,AV,PAUL ALDUY,MOULIN A VENT,66100,66136,,2010,5
19120031000016,0,191200310,7331,LYCEE GENERAL ET TECHNOLOGIQUE RAYMOND SAVIGNAC,,,,,LGT,1,01/03/1983,9,P,8531Z,05/01/2008,802A,2,00016,12,RR,DD,1,,,0,31/12/2004,230,,,,,,,N,,01/03/1983,S,P,N,NMPUB,1,76,12,12,12U01,,123000030,,,RUE,AGNES SAVIGNAC,,12200,12300,VILLEFRANCHE DE ROUERGUE,2014,9
19301209300012,0,193012093,7331,COLLEGE LES FONTAINES,,,,,CLG,1,01/03/1983,9,P,8531Z,05/01/2008,802A,2,00012,30,RR,DD,1,21,31/12/2010,20,31/12/2010,230,,,,,,,O,,01/03/1983,S,P,N,NMPUB,1,76,30,30,30U01,05/09/2014,30047-00000422735,,,RUE,DES JARDINS,,30230,30047,BOUILLARGUES,2014,9
19310005400017,0,193100054,7331,COLLEGE JEAN MONNET,,,,,,1,01/03/1983,9,P,8531Z,05/01/2008,802A,2,00017,31,RR,DD,1,12,31/12/2012,13,31/12/2012,230,,,,,,,O,,01/03/1983,S,P,N,NMPUB,1,76,31,31,31U02,07/11/2014,310420275,2,,BD,CHARLES DE GAULLE,,31110,31042,BAGNERES DE LUCHON,2013,9
19310046800019,0,193100468,7331,LYCEE POLYVALENT HOTELLERIE ET TOURISME,,,,,,1,01/03/1983,9,P,8532Z,05/01/2008,802C,2,00019,31,RR,DD,1,,,1,09/12/2007,215,,,,,,,O,09/12/2007,01/03/1983,S,P,N,NMPUB,1,76,31,31,31U04,07/11/2014,315554821,1,,RUE,DE L ABBE JULES LEMIRE,,31300,31555,TOULOUSE,2014,9
19310085600015,0,193100856,7331,COLLEGE JEAN PIERRE VERNANT,,,,,,1,01/03/1983,9,P,8531Z,05/01/2008,802A,2,00015,31,RR,DD,1,12,31/12/2012,12,31/12/2012,230,,,,,,,O,,01/03/1983,S,P,N,NMPUB,1,76,31,31,31U05,07/11/2014,315555072,4,,AV,DE LASBORDES,,31500,31555,TOULOUSE,2014,9
19311384200010,0,193113842,7383,UNIVERSITE PAUL SABATIER TOULOUSE III,,,,,,1,01/03/1983,9,P,8542Z,05/01/2008,803Z,2,00010,31,RR,DD,1,51,31/12/2010,2858,31/12/2010,230,,,,,,,O,01/03/2007,01/03/1983,S,P,N,NMPUB,1,76,31,31,31U03,07/11/2014,315556196,118,,RTE,DE NARBONNE,,31400,31555,TOULOUSE,2009,5
19312092000015,0,193120920,7331,COLLEGE VICTOR HUGO,,,,,,1,01/10/1984,9,P,8531Z,05/01/2008,802A,2,00015,31,RR,DD,1,,,0,31/12/2004,230,,,,,,,N,,01/10/1984,S,P,N,NMPUB,1,76,31,31,31U04,07/11/2014,311491341,,,BD,VICTOR HUGO,,31770,31149,COLOMIERS,2010,9
19312337900011,0,193123379,7331,COLLEGE FORAIN FRANCOIS VERDIER,,,,,,1,01/09/1993,9,P,8531Z,05/01/2008,802A,2,00011,31,RR,DD,1,12,31/12/2012,10,31/12/2012,230,,,,,,,O,,01/09/1993,S,P,N,NMPUB,1,76,31,31,31U02,07/11/2014,31291-00000454865,,,RTE,DE LA SALVETAT,,31490,31291,LEGUEVIN,2014,9
19340088400014,0,193400884,7331,LYCEE PROFESSIONNEL IRENE ET FREDERIC JOLIOT CURIE,,,,,LP,1,01/03/1983,9,P,8532Z,05/01/2008,802C,2,00014,34,RR,DD,1,,,1,15/01/2012,215,,,,,,,O,,01/03/1983,S,P,N,NMPUB,1,76,34,34,34U01,05/09/2014,343010495,105,,RUE,DU DAUPHINE,,,34301,SETE,2010,9
19340974500018,0,193409745,7331,COLLEGE EMMANUEL MAFFRE-BAUGE,,,,,CLG,1,01/03/1983,9,P,8531Z,05/01/2008,802A,2,00018,34,RR,DD,1,,,1,24/01/2010,215,,,,,,,O,,01/03/1983,S,P,N,NMPUB,1,76,34,34,34U02,05/09/2014,34194-00000532643,84,,RUE,JOLIOT CURIE,,34230,34194,PAULHAN,2014,9
19650027600031,0,196500276,7331,LYCEE TECHNOLOGIQUE JEAN DUPUY,,,CTRE DE FORMATION APPRENTIS DEP,,,1,01/01/2007,9,P,8532Z,,802C,4,00015,65,RR,DD,1,,,1,08/02/2009,215,,,,,,,O,08/02/2009,01/01/2007,S,,N,NMPUB,1,76,65,65,65U01,11/11/2014,654400288,1,,RUE,ARISTIDE BERGES,,,65440,TARBES,2014,9
19810018200015,0,198100182,7331,LYCEE PROFESSIONNEL ANNE VEAUTE,,,,,,1,01/03/1983,9,P,8532Z,05/01/2008,802C,2,00015,81,RR,DD,1,,,0,31/12/2004,230,,,,,,,N,01/01/2004,01/03/1983,S,P,N,NMPUB,1,76,81,81,81U01,,810652320,46,,BD,MAGENTA,,81100,81065,CASTRES,2014,9
19810788000017,0,198107880,7331,COLLEGE AUGUSTIN MALROUX,,,,,,1,01/03/1983,9,P,8531Z,05/01/2008,802A,2,00017,81,RR,DD,1,,,0,31/12/2004,230,,,,,,,N,,01/03/1983,S,P,N,NMPUB,1,76,81,81,81U01,,81033-00001250417,,,CHE,ALBERT RIVENC,,81400,81033,BLAYE LES MINES,2014,9
26090023800205,0,260900238,7364,CENTRE HOSPITALIER DES VALLEES D'ARIEGE,,,INSTITUTS DE FORMATION (IFSI-IFSA),,,1,28/05/2010,9,P,8542Z,,803Z,4,00148,09,RR,DD,1,,,0,28/05/2010,210,,,,,,,N,,28/05/2010,S,,N,NMPUB,1,76,09,09,09U01,11/11/2014,092254170,10,,RUE,ST VINCENT,,09100,09225,PAMIERS,2014,9
26120022400010,0,261200224,7366,EHPAD RESIDENCE L'OREE DU LAC,,,,,,3,01/01/2017,9,QA,8710A,05/01/2008,853D,2,00010,12,RR,DD,1,12,31/12/2012,0,01/01/2017,217,,,,,,,N,01/01/2017,01/03/1983,S,P,N,NMPUB,1,76,12,12,12U01,,12198-00000138742,,,RUE,PANASSAC,,12240,12198,RIEUPEYROUX,2010,9
26310012500040,0,263100125,7364,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE,,,HOPITAL PURPAN,,CHUT,1,16/03/1983,9,QA,8610Z,05/01/2008,851A,7,00016,31,RR,DD,1,52,31/12/2010,8206,31/12/2010,230,,,,,,,O,,16/03/1983,S,P,N,NMPUB,1,76,31,31,31U04,07/11/2014,315552676,1,,PL,DU DOCTEUR BAYLAC,,31300,31555,TOULOUSE,2014,9
26310014100013,0,263100141,7366,E.H.P.A.D SAINT JACQUES,,,,,EHPAD,1,31/12/2015,9,QA,8710A,05/01/2008,853D,2,00013,31,RR,DD,1,22,31/12/2012,0,31/12/2015,217,,,,,,,N,,01/03/1983,S,P,N,NMPUB,1,76,31,31,31U05,07/11/2014,31584-00000465819,9,,RUE,PIERRE MARCHET,,31340,31584,VILLEMUR SUR TARN,2010,9
26320015600010,0,263200156,7366,EHPAD LAVALLEE,,,,,,1,01/03/1983,9,QA,8710A,05/01/2008,853D,2,00010,32,RR,DD,1,12,31/12/2012,43,31/12/2012,230,,,,,,,O,01/01/2001,01/03/1983,S,P,N,NMPUB,1,76,32,32,32U01,08/11/2014,32370-00000477829,,,AV,GENERAL DE GAULLE,,32380,32370,SAINT CLAR,2014,5
26650012300028,0,266500123,7366,E.H.P.A.D CURIE SEMBRES,,,SCE SOINS INFIRMIERS A DOMICILE,,,1,28/02/2005,9,QA,8690D,05/01/2008,851G,7,00010,65,RR,DD,1,03,31/12/2012,11,31/12/2012,230,,,,,,,O,,28/02/2005,S,P,N,NMPRI,1,76,65,65,65U01,11/11/2014,65375-00001584966,15,,RUE,BOURDALAIS,,65140,65375,,2010,9
30018877800355,0,300188778,5720,SONEPAR SUD OUEST,,,COMPTOIR DU SUD OUEST - CSO,,S.S.O.,1,01/07/1993,4,G,4669A,05/01/2008,518L,6,00876,33,75,33,1,02,31/12/2012,5,31/12/2012,230,,,,,,,O,,01/07/1993,S,P,N,MARCH,1,76,82,82,82U01,11/11/2014,821218041,,,RUE,VOLTAIRE,ZI NORD,82000,82121,MONTAUBAN,2014,0
30025569200026,0,300255692,10XX,,CHIBRET,JACQUES PIERRE,,,,3,30/09/2012,9,QA,8623Z,,851E,2,00026,31,RR,DD,1,00,31/12/2012,1,31/12/2012,230,,,,,,,N,,07/07/2009,S,,N,MARCH,1,76,31,31,31U02,07/11/2014,31028-00000444067,,,RUE,DU BARRY,,31420,31028,AURIGNAC,2012,1
30032257500022,0,300322575,10XX,,COLLE,ROBERT,,,,3,01/02/2010,6,K,6622Z,05/01/2008,672Z,7,00048,30,RR,DD,1,,,0,01/02/2010,217,,,,,,,N,,10/12/1989,S,P,N,MARCH,1,76,30,30,30U02,05/09/2014,30263-00000436466,1,,PL,DU 19 MARS 1962,,30170,30263,SAINT HIPPOLYTE DU FORT,2009,2
30033394500032,0,300333945,5499,SARL ETABLISSEMENTS LECOCQ ET FILS,,,ETS LECOQ,,,3,31/12/2011,4,G,4721Z,05/01/2008,522A,3,00016,66,RR,DD,1,01,31/12/2010,0,31/12/2011,217,,,,,,,N,,01/06/1989,S,P,N,MARCH,1,76,66,66,66U01,09/09/2014,66182-00001033663,,,,ZA CAMPS DE LA FIGUERE,,66470,66182,SAINTE MARIE,2011,1
30036650700022,0,300366507,10XX,,BENAC,JEAN,CAFE DES ARCADES,CAFE DES ARCADES,,3,01/07/2016,4,I,5630Z,05/01/2008,554B,2,00022,31,RR,DD,1,02,31/12/2012,0,01/07/2016,217,,,,,,,N,01/07/2016,01/04/2005,S,P,N,MARCH,1,76,31,31,31U02,07/11/2014,31375-00000457634,1,,PL,DE LA HALLE,1 - 2,31310,31375,MONTESQUIEU VOLVESTRE,2014,1
30096647000043,0,300966470,5499,SOC SOTRAIN TRAVAUX INDUSTRIEL,,,,,,1,01/06/2005,2,CG,2361Z,05/01/2008,266A,2,00043,34,RR,DD,1,03,31/12/2012,6,31/12/2012,230,,,,,,,O,,01/06/2005,S,P,N,MARCH,1,76,34,34,34U02,05/09/2014,34202-00001536994,,,CHE,DEPARTEMENTAL 5,,34570,34202,PIGNAN,2014,0
30110151500015,0,301101515,5498,LES VIGNOBLES VERGNES DE MARTINOLLES,,,,,,3,12/06/2015,2,CA,1102A,05/01/2008,159F,2,00015,11,RR,DD,1,02,31/12/2012,0,06/09/2015,217,,,,,,,N,12/06/2015,01/01/1974,S,P,N,MARCH,1,76,11,11,11U01,07/11/2014,11344-00000124992,,,DOM,DE MARTINOLLES,,11250,11344,SAINT HILAIRE,2014,0
30116721900460,0,301167219,5720,MARESE,,,MARESE,,,1,01/05/2006,4,G,4771Z,05/01/2008,524C,7,00023,38,84,38,1,02,31/12/2012,3,31/12/2012,230,,,,,,,O,,01/05/2006,S,P,N,MARCH,1,76,34,34,34U02,05/09/2014,34172-00001885927,,,,LE POLYGONE,,34000,34172,MONTPELLIER,2013,0
30117383700032,0,301173837,10XX,,LUCE,JACQUES,,ARC IMMO TRANSACTION AGENCE ARC IMMO,,1,01/11/1998,7,L,6831Z,05/01/2008,703A,2,00032,31,RR,DD,1,01,31/12/2012,2,31/12/2012,230,,,,,,,O,01/01/2004,01/11/1998,S,P,N,MARCH,1,76,31,31,31U04,07/11/2014,315557300,12,,PL,DU RAVELIN,,31300,31555,TOULOUSE,2014,1
30125188000409,0,301251880,5710,PHONE REGIE,,,PHONE REGIE,PHONE REGIE,,1,17/05/2013,8,N,8299Z,,748K,6,00128,75,11,75,1,,,207,31/12/2015,261,,,,,,,O,,17/05/2013,S,P,N,MARCH,1,76,31,31,31U05,07/11/2014,315555776,7,,RUE,MATABIAU,ESPACE JEANNE D'ARC 7-9-,31000,31555,,2014,2
30157191500018,0,301571915,9220,ASS CASTE JEUNE CULTU LOISIR SPORT,,,,,,1,01/01/2000,10,S,9499Z,05/01/2008,913E,2,00018,34,RR,DD,1,12,31/12/2012,17,31/12/2012,230,,,,,,,O,01/01/2004,,S,P,N,NMPRI,1,76,34,34,34U03,05/09/2014,340570699,,,AV,DE LA MOUTTE,,34170,34057,CASTELNAU LE LEZ,2014,1
30159066700020,0,301590667,6571,GPT MEDICAL DOCTEURS COMBES ET SCARIOT,,,,,,1,01/07/1996,9,QA,8621Z,05/01/2008,851C,2,00020,65,RR,DD,1,01,31/12/2012,2,31/12/2012,230,,,,,,,O,01/01/2004,01/07/1996,S,P,N,MARCH,1,76,65,65,65U01,11/11/2014,65007-00001014668,23,,RUE,JACQUES DUCLOS,,65390,65007,ANDREST,2014,1
30179355000031,0,301793550,9220,AIR LANGUEDOC-ROUSSILLON,,,,,,3,06/07/2015,8,MA,7120B,05/01/2008,743B,7,00049,34,RR,DD,1,11,31/12/2012,0,06/07/2015,217,,,,,,,N,06/07/2015,31/12/1987,S,P,N,MARCH,1,76,34,34,34U02,05/09/2014,341724179,3,,PL,PAUL BEC,LES ECHELLES DE LA VILLE,34000,34172,MONTPELLIER,2014,2
30185457600024,0,301854576,5499,GARAGE FAUROUX SARL,,,,,,1,01/06/1996,4,G,4511Z,05/01/2008,501Z,2,00024,81,RR,DD,1,12,31/12/2012,32,31/12/2012,230,,,,,,,O,01/01/2004,01/06/1996,S,P,N,MARCH,1,76,81,81,81U01,,81145-00001256079,8,,QUA,PASTEUR,,81310,81145,LISLE SUR TARN,2014,1
30192172200023,0,301921722,5499,SOCIETE DU GANT ANDRE POUJADE,,,,SOCIETE DU GANT ANDRE POUJADE,SEGAP,3,31/12/2009,4,G,4771Z,05/01/2008,524C,6,00056,30,RR,30,1,00,31/12/2009,0,31/12/2009,217,,,,,,,N,,22/02/1992,S,P,N,MARCH,1,76,34,34,34U02,05/09/2014,341723000,58,,GR,JEAN MOULIN,,34000,34172,MONTPELLIER,2009,9
30204902800046,0,302049028,9220,ASS DEP PUPILLES ENS PUBLI AVEYRON,,,CENTRE MEDICO-PSYCHO-PEDAGOGIQUE,P E P,ADPEPA,1,01/01/2000,9,QB,8891B,05/01/2008,853K,7,00293,12,RR,DD,1,12,31/12/2010,56,31/10/2015,261,,,,29,31/12/2004,271,O,01/01/2004,,S,P,N,NMPRI,1,76,12,12,12U01,,122020010,1,,RUE,DE L ABBE BESSOU,,12000,12202,,2014,0
30204902800103,0,302049028,9220,ASS DEP PUPILLES ENS PUBLI AVEYRON,,,FOYER OCCUPATIONNEL LES GLYCINES,P E P,ADPEPA,1,01/04/1986,9,QB,8720A,05/01/2008,853C,7,00293,12,RR,DD,1,12,31/12/2012,25,31/12/2012,230,,,,,,,O,01/01/2004,01/04/1986,S,P,N,NMPRI,1,76,12,12,12U01,,12270-00001627758,,,,_VOIE NON PRECISEE,,12150,12270,SEVERAC D'AVEYRON,2014,0
30205251900014,0,302052519,10XX,,MOLIMART,RENE,,RESTAURANT DES VOYAGEURS,,3,31/12/2011,4,I,5610A,05/01/2008,553A,2,00014,31,RR,DD,1,01,31/12/2010,0,31/12/2011,217,,,,,,,N,,01/01/1975,S,P,N,MARCH,1,76,31,31,31U02,07/11/2014,31193-00001828490,,,,_VOIE NON PRECISEE,,31430,31193,LE FOUSSERET,2011,1
30218225800798,0,302182258,5699,BANQUE COURTOIS (SUCCESSEUR DE L'ANCIENNE MAISON COURTOIS & CIE DEPUIS 1760),,,,,,1,30/10/1996,6,K,6419Z,05/01/2008,651C,3,00012,31,RR,31,1,02,31/12/2012,3,31/12/2012,230,,,,,,,O,01/01/2004,30/10/1996,S,P,N,MARCH,1,76,09,09,09U01,11/11/2014,092612260,2,,PL,DES CAPOTS,,09200,09261,SAINT GIRONS,2014,2
30241306700042,0,302413067,10XX,,DOBON,ANTOINE,,,,3,31/12/2015,10,R,9321Z,05/01/2008,923F,7,00026,66,RR,DD,1,01,31/12/2012,0,31/12/2015,217,,,,,,,N,,06/06/2004,S,P,N,MARCH,1,76,34,34,34U01,05/09/2014,340323500,,,PL,GABRIEL PERI,HOTEL DE VILLE DE BEZIER,34500,34032,BEZIERS,2011,1
30250905400029,0,302509054,5499,SOC EXPLOIT DE LA BIJOUTERIE ARIES,,,,JEAN ARIES,SEBA,3,02/03/2013,4,G,4777Z,05/01/2008,524V,2,00029,65,RR,DD,1,00,31/12/2012,0,04/02/2014,217,,,,,,,N,,05/09/1988,S,P,N,MARCH,1,76,65,65,65U01,11/11/2014,654402280,8,,RUE,MARECHAL FOCH,,65000,65440,TARBES,2012,1
